(4, 20, 100): ([164.20109622045769, 154.93547043850222, 138.40520221436765], 152.51392295777586)
(4, 20, 150): ([170.07351351694948, 223.48601745970598, 149.4824404403407], 181.01399047233204)
(4, 20, 200): ([158.83639381451596, 224.4036541591959, 106.56922632730333], 163.2697581003384)
(4, 20, 230): ([75.8023746329889, 223.48601745970598, 197.0406049523803], 165.44299901502507)
(4, 50, 100): ([165.19685227025363, 57.8013840664737, 84.581321815162], 102.5265193839631)
(4, 50, 150): ([154.7966407904254, 224.4036541591959, 149.4824404403407], 176.22757846332067)
(4, 50, 200): ([75.8023746329889, 224.4036541591959, 106.56922632730333], 135.59175170649604)
(4, 50, 230): ([75.8023746329889, 223.48601745970598, 54.91812087098393], 118.06883765455962)
(4, 100, 150): ([75.8023746329889, 93.23625904121208, 58.25804665451803], 75.765560109573)
(4, 100, 200): ([75.8023746329889, 170.95028517086482, 54.91812087098393], 100.55692689161253)
(4, 100, 230): ([75.8023746329889, 175.32826355154492, 54.91812087098393], 102.0162530185059)
(4, 150, 200): ([75.8023746329889, 229.8695282111137, 54.91812087098393], 120.19667457169551)
(4, 150, 230): ([75.8023746329889, 154.82893786369524, 54.91812087098393], 95.18314445588935)
(8, 20, 100): ([154.0519392932137, 95.71833680126291, 41.48493702538308], 97.08507103995323)
(8, 20, 150): ([170.07351351694948, 58.249463516842795, 149.4824404403407], 125.93513915804431)
(8, 20, 200): ([159.0125781188394, 238.1197177891827, 59.033888572581766], 152.05539482686797)
(8, 20, 230): ([75.8023746329889, 223.48601745970598, 197.0406049523803], 165.44299901502507)
(8, 50, 100): ([173.32628190785147, 124.77579893553076, 84.581321815162], 127.56113421951473)
(8, 50, 150): ([154.7966407904254, 238.1197177891827, 58.05170109479997], 150.322686558136)
(8, 50, 200): ([75.8023746329889, 238.1197177891827, 106.56922632730333], 140.16377291649164)
(8, 50, 230): ([75.8023746329889, 223.48601745970598, 54.91812087098393], 118.06883765455962)
(8, 100, 150): ([75.8023746329889, 94.02127418834527, 54.91812087098393], 74.91392323077271)
(8, 100, 200): ([75.8023746329889, 70.21395872616783, 54.91812087098393], 66.97815141004689)
(8, 100, 230): ([75.8023746329889, 228.97379762758882, 54.91812087098393], 119.89809771052053)
(8, 150, 200): ([75.8023746329889, 94.02127418834527, 54.91812087098393], 74.91392323077271)
(8, 150, 230): ([75.8023746329889, 387.73702428321184, 54.91812087098393], 172.81917326239488)
(16, 20, 100): ([154.0519392932137, 98.60020283954795, 58.05170109479997], 103.56794774252053)
(16, 20, 150): ([149.04026301640775, 238.1197177891827, 54.91812087098393], 147.35936722552478)
(16, 20, 200): ([154.7966407904254, 238.1197177891827, 54.91812087098393], 149.278159816864)
(16, 20, 230): ([75.8023746329889, 224.0089283934906, 54.91812087098393], 118.24314129915449)
(16, 50, 100): ([86.02325267042627, 124.77579893553076, 85.90692637965812], 98.90199266187172)
(16, 50, 150): ([154.7966407904254, 238.1197177891827, 85.90692637965812], 159.60776165308872)
(16, 50, 200): ([75.8023746329889, 238.1197177891827, 54.91812087098393], 122.94673776438519)
(16, 50, 230): ([75.8023746329889, 224.0089283934906, 54.91812087098393], 118.24314129915449)
(16, 100, 150): ([75.8023746329889, 238.1197177891827, 54.91812087098393], 122.94673776438519)
(16, 100, 200): ([75.8023746329889, 387.73702428321184, 54.91812087098393], 172.81917326239488)
(16, 100, 230): ([75.8023746329889, 387.73702428321184, 54.91812087098393], 172.81917326239488)
(16, 150, 200): ([75.8023746329889, 387.73702428321184, 54.91812087098393], 172.81917326239488)
(16, 150, 230): ([75.8023746329889, 387.73702428321184, 54.91812087098393], 172.81917326239488)
(32, 20, 100): ([167.4305826305338, 124.77579893553076, 58.05170109479997], 116.75269422028818)
(32, 20, 150): ([131.48764200486676, 224.0089283934906, 54.91812087098393], 136.8048970897804)
(32, 20, 200): ([154.7966407904254, 238.1197177891827, 54.91812087098393], 149.278159816864)
(32, 20, 230): ([184.16568627190028, 79.98124780221924, 54.91812087098393], 106.3550183150345)
(32, 50, 100): ([84.38009243891595, 124.77579893553076, 85.90692637965812], 98.3542725847016)
(32, 50, 150): ([154.7966407904254, 224.0089283934906, 54.91812087098393], 144.57456335163332)
(32, 50, 200): ([74.02702209328699, 238.1197177891827, 54.91812087098393], 122.35495358448452)
(32, 50, 230): ([76.32168761236873, 72.13875518748573, 54.91812087098393], 67.79285455694612)
(32, 100, 150): ([154.7966407904254, 238.1197177891827, 54.91812087098393], 149.278159816864)
(32, 100, 200): ([75.8023746329889, 46.647615158762406, 54.91812087098393], 59.12270355424508)
(32, 100, 230): ([75.8023746329889, 123.10970717209915, 54.91812087098393], 84.61006755869066)
(32, 150, 200): ([75.8023746329889, 123.10970717209915, 54.91812087098393], 84.61006755869066)
(32, 150, 230): ([62.96824596572466, 123.10970717209915, 54.91812087098393], 80.33202466960257)
